name,price,stock,color,size,material,link
Achieve Running Short in Espresso,IDR 349.000,4 IN STOCK,Brown,"Brown,XS,S,M,L",no_material,https://loveandflair.com//products/achieve-running-short-in-espresso
Ultralite Flare Pants in Black,IDR 529.000,50 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/ultralite-flare-pants-in-black
Solene Baby Tee in Moss,IDR 380.000,10 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/solene-baby-tee-in-moss
Pavilion Polo Top in Midnight Navy,IDR 399.000,11 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/pavilion-polo-top-in-midnight-navy
Energy Biker Shorts in Burgundy Wine,IDR 399.000,18 IN STOCK,Burgundy Wine,"XS,S,M,L,Burgundy Wine",no_material,https://loveandflair.com//products/energy-biker-shorts-in-burgundy-wine-1
Routine Bra Top in White,IDR 489.000,1 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/routine-bra-top-in-white
Fluff Tank Top in Black,IDR 364.650,5 IN STOCK,Black,"XS,S,M,Black",no_material,https://loveandflair.com//products/fluff-tank-top-in-black
Lightweight Cropped Jacket in White,IDR 599.000,1 IN STOCK,White,"White,S,M,L,XL",no_material,https://loveandflair.com//products/lightweight-cropped-jacket-in-white
Asymmetrical Pleated Skirt in White,IDR 579.000,1 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/asymmetrical-pleated-skirt-in-white-1
Mighty Bra in Graphite Grey (LAST PIECES),IDR 399.000,1 IN STOCK,Graphite Grey,"XS,S,M,L,Graphite Grey",no_material,https://loveandflair.com//products/mighty-bra-in-graphite-grey
Warm-Up Knit Jacket in Dark Cherry (LAST PIECES),IDR 699.000,9 IN STOCK,Dark Cherry,"One Size,Dark Cherry",no_material,https://loveandflair.com//products/warm-up-knit-jacket-in-dark-cherry
Fast Serve Dress in Forest (`1L LEFT),IDR 399.000,1 IN STOCK,Forest,"XS,S,M,L,Forest",no_material,https://loveandflair.com//products/fast-serve-dress-in-forest
Twirl Skirt in Black,IDR 599.000,25 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/twirl-skirt-in-black
Toned Bra Tank in Black (LAST PIECES),IDR 449.000,7 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/toned-bra-tank-in-black
Step Wide Pants in Black,IDR 599.000,1 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/step-wide-pants-in-black
Curve Jogger in Eggshell,IDR 529.000,11 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/curve-jogger-in-eggshell
Embody Jacket in Graphite Grey (1 L LEFT),IDR 699.000,1 IN STOCK,Graphite Grey,"XS,S,M,L,Graphite Grey",no_material,https://loveandflair.com//products/embody-jacket-in-graphite-grey
Raglan Jacket in Moss,IDR 649.000,3 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/raglan-jacket-in-moss
Sideline Pleated Skirt in Midnight Navy,IDR 549.000,14 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/sideline-pleated-skirt-in-midnight-navy
Match Point Skirt in Baby Blue,IDR 549.000,9 IN STOCK,Baby Blue,"XS,S,M,Baby Blue",no_material,https://loveandflair.com//products/match-point-skirt-in-baby-blue
Sideline Pleated Skirt in Black,IDR 399.000,13 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/sideline-pleated-skirt-in-black-1
Tour Polo Top in White,IDR 499.000,3 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/tour-polo-top-in-white
Lavish Pleated Tennis Skirt in Emerald (XS LEFT),IDR 299.400,7 IN STOCK,Emerald,"XS,S,M,L,Emerald",no_material,https://loveandflair.com//products/lavish-pleated-tennis-skirt-in-emerald
Cloud Bra in Black,IDR 202.300,14 IN STOCK,Black,"S,M,L,XL,XXL,Black",no_material,https://loveandflair.com//products/seamless-wireless-v-neckline-bra-in-black
Mind Skirt in Black (LAST PIECES),IDR 399.000,5 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/mind-skirt-in-black
Kinetic Jogger in Oat,IDR 199.000,18 IN STOCK,Oat,"Oat,XS,S,M,L",no_material,https://loveandflair.com//products/kinetic-jogger-in-oat
Asana Biker Shorts in Navy,IDR 429.000,17 IN STOCK,Navy,"XS,S,M,L,Navy",no_material,https://loveandflair.com//products/asana-biker-shorts-in-navy
Circuit Pleated Skirt in White,IDR 299.000,25 IN STOCK,White,"White,XS,S,M,L",no_material,https://loveandflair.com//products/circuit-pleated-skirt-in-white
